Cs;Modulo;Fase(grado);R;L;C;Q;D
50;4,00E+05;-90;0;-1,30E+03;8,00E-09;inf;0
100;2,00E+05;-90;0;-3,20E+02;7,96E-09;inf;0
1,00E+03;2,00E+04;-89,76;8,00E+01;-3,2;7,92E-09;240;0,0041
5,00E+03;4,00E+03;-89,6;2,80E+01;-0,13;7,88E-09;146;0,0068
1,00E+04;2,00E+03;-89,5;1,70E+01;-3,22E-02;7,85E-09;118;0,0085
2,00E+04;1,00E+03;-89,43;1,00E+01;-8,10E-03;7,82E-09;94,8;0,01
5,00E+04;4,10E+02;-89,2;5,20E+00;-1,30E-03;7,77E-09;78;0,0128
1,00E+05;2,10E+02;-89,17;3,00E+00;-3,30E-04;7,72E-09;69;0,014
1,50E+05;1,40E+02;-89,12;2,10E+00;-1,50E-04;7,69E-09;65;0,0154
2,00E+05;1,03E+02;-89,08;1,66;-8,25E-05;7,68E-09;62;0,016
5,00E+05;4,17E+01;-88,94;0,77;-1,33E-05;7,64E-09;54;0,0185
7,00E+05;2,97E+01;-88,88;0,58;-6,75E-06;7,65E-09;51;0,0195
1,00E+06;2,07E+01;-88,59;0,44;-3,28E-06;7,70E-09;47,3;0,021
2,00E+06;9,74E+00;-88,42;0,268;-7,76E-07;8,17E-09;36;0,028
3,00E+06;5,80E+00;-87,84;0,2;-3,07E-07;9,20E-09;27;0,037
5,00E+06;2,10E+00;-85;0,179;-6,70E-08;1,52E-08;12;0,086
5,50E+06;1,49E+00;-83;0,175;-4,00E-08;1,95E-08;9;0,118
5,70E+06;1,27E+00;-82,15;0,173;-3,50E-08;2,22E-08;7;0,138
5,90E+06;1,06E+00;-80,63;0,172;-2,80E-08;2,60E-08;6;0,165
6,10E+06;8,50E-01;-78,45;0,171;-2,00E-08;3,10E-08;5;0,205
6,30E+06;6,57E-01;-75;0,17;-1,60E-08;3,98E-08;4;0,267
6,50E+06;4,70E-01;;0,168;-1,10E-08;5,50E-08;;
6,70E+06;3,00E-01;;0,168;-6,10E-09;9,30E-08;;
7,00E+06;1,67E-01;;0,166;3,20E-10;-1,60E-06;;
7,20E+06;2,51E-01;;0,166;4,16E-09;1,17E-07;;
7,50E+06;4,70E-01;;0,165;9,30E-09;4,82E-08;;
7,70E+06;6,26E-01;74,8;0,164;1,25E-08;3,40E-08;4;0,272
7,90E+06;7,80E-01;77,9;0,164;1,54E-08;2,64E-08;5;0,215
8,00E+06;8,60E-01;79;0,164;1,68E-08;2,36E-08;5;0,194
1,00E+07;2,30E+00;85,95;0,16;3,64E-08;6,97E-09;14;0,07
9,00E+06;1,60E+00;84,16;0,162;2,80E-08;1,11E-08;10;0,102
